Δ Founding Member	Ethereum Address	Genesis Sentence 🌝	MVT (Movement Token) Balance	Movement Activity	Bitcointalk Rank	Spheres	Vote #00001	Media	Greenpoint	Contributor	Ambassador
chichidori	0x86c5369ff1c20528ba1cf7233d86f52135a76ffc	Don’t Be Afraid. Just Believe	10957	1	Hero Member		1 Airdrop Closing Date Proposal: 30/08/2017 2 Airdrop Participant Hard Cap Proposal: 1000		✓		
tessaphin	0x58f1F10ED50ACBC65Ef905F5F8FDD194E7C1eF3c	mentosu kopole neri matew sunie	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 15.08.2017 #2 Airdrop Participant Hard Cap Proposal: invalid				
MintCondition	0xDf5f3156B289b839f1277Ea977D3859972a285Ff	this project is really interesting, I hope that this will become successful and this airdrop will be worth it to hold.	1566	No Vote	Hero Member						
mummybtc	0xA69A8eba7a07245e2Bc38a772C1AfefA68E9959F	I hope this DAO get this right this time	4638	0.5	Senior Member						
Ognik33	0x503339BC5B837aCd6Dbb1e5F02dF9160926eD20E	мама мыла раму, а я мыл пол	4383	0.5	Full Member		#1 Airdrop Closing Date Proposal: 8.08.17 #2 Airdrop Participant Hard Cap Proposal:500	✓			
ROBERTO	0x507c8fEa802A0772Eb5E001a8fbA38F36Fb9b66B	Never better served than by oneself	12522	1	Legendary	Sphere Name: Twitter Retweet✓ Description: i want to contribute in social media by share and retweet messages from official account	#1 Airdrop Closing Date Proposal: 15.08.17 #2 Airdrop Participant Hard Cap Proposal: 1000	✓	✓		
topesis	0xbd3d26657067440D08785744f429D753D6a9615D	It is not too late to get DAO system up and running	4638	0.5	Senior Member						
abonarea	0x0190a8cB265bdba59f4758C26e17ebAA56b0DDf4	it is future of crypto currencies 	1789	No Vote	Legendary						
ajiz138	0x79491ec4b542c8f310E92c7F23DeC4DE18CF9477	bredoh mugobh babamaz zogeboh hoy	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 10.08.2017 #2 Airdrop Participant Hard Cap Proposal: 1000				
Mavis	0x974229fDE357aDef49FeCEbe372E3C78535a2887	hold and trust,let it grow.	2782	0.5	Member		#1 Airdrop Closing Date Proposal: 10.08.17 #2 Airdrop Participant Hard Cap Proposal: 888				
Ano	0x6326B2CdD42ea0D1254DF6200FD78Bbf57d405c0	this is brilliant is idea it will amazing project	1392	No Vote	Senior Member						
WhiteManWhite	0x0B92db394eC8368aE1f1622ea48EfB23be1bcD93	cryptocurrency will change the world for the better	1789	No Vote	Legendary						
jacafbiz	0xfB0041651583d94C3D520D418158b5a0F85Cc267	The unstoppable DAO moving into the moon	1392	No Vote	Senior Member						
Islapdonkey	0xA41300508c007DDB37FF3631006bb83c85849319	Intellectual ability always surpass financial capability	8765	1	Full Member	Sphere Name: WOW✓ Description: A safe community that encourages whistleblowers from  various field to anonymously report a fraudulent/ criminal activity	#1 Airdrop Closing Date Proposal: 31.08.17 #2 Airdrop Participant Hard Cap Proposal: 1000 	✓			
koko UK	0x8fdF0133e7E31c96C79c114a7600722c113bd86B	Don’t bark if you can’t bite.	1392	No Vote	Senior Member						
QFT	0xf92aDc1184433A0a57a29346916E4AB915232e8d	Thanks to the guy who gave me a small eth balance to participate with!	4174	0.5	Full Member		#1 Airdrop Closing Date Proposal: 08.08.17 #2 Airdrop Participant Hard Cap Proposal: 1000	✓			
Crypto_Boss	0x6DE078FE0822149fAA6C811f9C8FA48Eb220d28f	Everything will be as it should, even if everything is the opposite.	9275	1	Senior Member		#1 Airdrop Closing Date Proposal: 10.08.2017 #2 Airdrop Participant Hard Cap Proposal: 1000				
szafa	0x2E17Fd4B9E62bdc390f6d51BA48c7b0B92eff510	Kobieta jest jak wino,im starsza tym lepsza.	1392	No Vote	Senior Member						
daddybios	0xB8506eF0a6c574B11e1Ea9b7218ce990d930F459	a golden key can open any door	1789	No Vote	Legendary						
dishku	0x0FEF4e3474010c863a2d3471DFEb5460F11307cA	moon is the destination of this coin	1566	No Vote	Hero Member						
trader_999	0x9C3e453DA0953e65e2892088CB70e329b6821dE5	Выбор есть всегда))А завтра поглядим на сегодня	1566	No Vote	Hero Member						
yeswepump	0x4546eB518B4A603F60165Fa15F41fef6E5ab4923	In the beginning God created the heavens and the earth.	1566	No Vote	Hero Member						
albrots	0xdb9192ad9DcE6bb6901Fca146f398c6bc0b770f5	twoja stara rankano mobako zenggo	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 10.08.2017 #2 Airdrop Participant Hard Cap Proposal: 1000				
somacoin	0x5BD52804cB858386ebFf063a43829cFDD8b93970	The $150M DAO failed so the people created their own. From the Sky DAO. 	22157	1.75	Senior Member	Sphere Name: 3D VR Creator Fund✓ Description: We create a decentralized VR Creator's Fund through which we collectively fund and incentivize 3D creators who in turn create desirable 3D objects and experiences for Greenpoint VR and The Movement Headquarter, as well as for respective Sphere's VR implementations, raising the value for the good of everybody	#1 Airdrop Closing Date Proposal: 20.10.2017 #2 Airdrop Participant Hard Cap Proposal: 5000	✓			
zork	0xa44c22dce05acda274d77f743864c32c804262d1	post error genesis time market thousand press	1789	No Vote	Legendary						
sensimilia	0x5Fc21f774e2988353Db09d24240B7Afd5ec5Ce8C	You must have chaos within you to give birth to a dancing star.	8765	1	Full Member		#1 Airdrop Closing Date Proposal: 08.08.17 #2 Airdrop Participant Hard Cap Proposal: 1000	✓			
Amontana	0x78Eb0E387eC80564c059E7eb7551e7d943930725	to the moon and back	4174	0.5	Full Member		#1 Airdrop Closing Date Proposal: 15.08.17 #2 Airdrop Participant Hard Cap Proposal: 1111 				
sazonk	0x649cf4C11C1e86B959dD6F4C22511D5b05AD2F77	Big Bang Boom Blues Box	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 09.08.2017 #2 Airdrop Participant Hard Cap Proposal: 100				
disconnectme	0xf97c9Bc9A9F8B4A8909a90b1Da483B54AB0D4D82	Join the next big thing in Crypto	1392	No Vote	Senior Member						
vitvert	0x98e1ea694DbbEa59F283A37EAF295eCAbc55AB6b	The ecosystem of bitcoin is a global policy.	9275	1	Senior Member	Sphere Name: Marketing in Russia.✓ Description: Publication of articles on other crypto-currency forums and in social networks. Marketing.	#1 Airdrop Closing Date Proposal: 09.08.17 #2 Airdrop Participant Hard Cap Proposal: 500				
denam	0x2d85a9580645e95295Cf0A07c73a74B2d0190eB9	boom rocket moon destination above	1392	No Vote	Senior Member						
Criptomen	0x93B7A1a8d4EC4dE969F670bE222990D74A5Be178	I will participate in this landing, and suddenly it will be useful	5217	0.5	Hero Member		#1 Airdrop Closing Date Proposal: 15.8.17 #2 Airdrop Participant Hard Cap Proposal: 1000				
Drokzid	0xd3cDd7abd4981E2e003b936AD881Cb208924501B	Crypto will make this world a better place	19942	1.75	Full Member		#1 Airdrop Closing Date Proposal: 31.08.17 #2 Airdrop Participant Hard Cap Proposal: 650			✓	
